Transaction_Time,Merchant_Name,Location,Category,Transaction_Amount,IDs
2020-10-11 14:26:16,Cultivar San Francisco,"37.799820, -122.442413",Restaurant,65.35,49
2020-10-11 18:35:55,Tartine Manufactroy,"37.762030,-122.411600",Restaurant,92.15,45
2020-10-11 16:46:39,Cultivar San Francisco,"37.799820, -122.442413",Restaurant,83.38,30
2020-10-12 9:29:54,The Argentum Project,"37.781689, -122.409218",Restaurant,76.45,31
2020-10-12 6:57:4,Tartine Manufactroy,"37.762030,-122.411600",Restaurant,28.72,39
2020-10-11 15:36:42,Cultivar San Francisco,"37.799820, -122.442413",Restaurant,12.08,72
2020-10-12 3:1:29,Mahila,"37.750900, -122.434330",Restaurant,22.99,2
2020-10-11 11:37:26,Tartine Manufactroy,"37.762030,-122.411600",Restaurant,4.00,78
2020-10-11 20:17:32,The Bird,"37.787201, -122.400101",Restaurant,47.40,66
2020-10-12 9:9:52,The Bird,"37.787201, -122.400101",Restaurant,31.66,73
2020-10-12 10:39:12,Asian American Food Company,"37.742550, -122.488070",Restaurant,12.22,28
2020-10-12 0:37:50,Authentiko,"37.7767, -122.4025",Restaurant,28.47,90
2020-10-11 22:54:46,Hog Island Oyster Co,"38.1621, -122.8936",Restaurant,50.05,18
2020-10-11 23:53:8,Hoshinoya,"37.7862, -122.4297",Restaurant,25.38,99
2020-10-11 14:19:43,Gyu-Kaku Japanese BBQ,"37.782100, -122.403770",Restaurant,60.92,29
2020-10-12 1:47:51,Barzotto,"37.7525, -122.4209",Restaurant,13.76,74
2020-10-12 3:56:44,Lost Resort,"37.7594, -122.4088",Restaurant,48.89,79
2020-10-11 11:38:13,Dumpling Home,"37.7758, -122.4226",Restaurant,48.09,67
2020-10-11 15:47:56,Chicken as Cluck,"37.7507, -122.3952",Restaurant,58.89,67
2020-10-12 9:38:14,Dumpling Time,"37.7697, -122.4024",Restaurant,94.43,39
2020-10-12 8:35:54,Souvla,"37.7765, -122.4250",Restaurant,93.01,98
2020-10-11 11:37:48,Kitchen Story,"37.7643, -122.4307",Restaurant,77.95,99
2020-10-12 1:2:59,Hog Island Oyster Co,"38.1621, -122.8936",Restaurant,5.24,71
2020-10-11 12:13:36,Hoshinoya,"37.7862, -122.4297",Restaurant,15.40,92
2020-10-12 5:47:41,Gyu-Kaku Japanese BBQ,"37.782100, -122.403770",Restaurant,73.59,12
2020-10-12 0:17:22,Barzotto,"37.7862, -122.4297",Restaurant,80.79,70
2020-10-11 22:13:1,Lost Resort,"37.7594, -122.4088",Restaurant,1.13,51
2020-10-11 9:52:11,Dumpling Home,"37.7758, -122.4226",Restaurant,52.80,90
2020-10-11 18:57:55,Chicken as Cluck,"37.7507, -122.3952",Restaurant,38.96,49
2020-10-11 10:41:46,Dumpling Time,"37.7697, -122.4024",Restaurant,16.19,17
2020-10-12 2:31:35,Souvla,"37.7765, -122.4250",Restaurant,66.43,42
2020-10-12 0:9:11,Kitchen Story,"37.7643, -122.4307",Restaurant,79.08,38
2020-10-12 3:53:13,House of Thai 2,"37.7722, -122.4303",Restaurant,44.68,38
2020-10-11 18:20:15,Samila Thai Restaurant,"37.7818, -122.4852",Restaurant,10.28,46
2020-10-12 3:48:3,Cracked & Battered - Marina,"37.8005, -122.4401",Restaurant,48.03,72
2020-10-11 11:27:1,Limoncello,"37.7875, -122.4237",Restaurant,16.28,27
2020-10-12 10:21:27,Kokkari Estiatorio,"37.7970, -122.3997",Restaurant,14.59,72
2020-10-11 20:0:28,Marufuku Ramen SF,"37.782100, -122.403770",Restaurant,28.89,88
2020-10-11 22:4:17,Aria Korean Street Food,"37.7866, -122.4180",Restaurant,62.18,93
2020-10-12 5:58:5,Pier Market Seafood Restaurant,"37.8087, -122.4098",Restaurant,84.82,1
2020-10-11 10:53:27,Beit Rima,"37.7687, -122.4293",Restaurant,36.09,85
2020-10-12 9:56:41,Hook Fish,"37.7624, -122.5069",Restaurant,0.08,57
2020-10-11 21:31:59,Alchemist Bar & Lounge,"37.7793, -122.3930",Restaurant,17.07,72
2020-10-12 1:34:33,Presidio Kebab,"37.7881, -122.4468",Restaurant,6.30,59
2020-10-11 19:34:29,Hog Island Oyster Co,"38.1621, -122.8936",Restaurant,52.45,71
2020-10-11 23:31:18,Hog Island Oyster Co,"38.1621, -122.8937",Restaurant,6.21,60
2020-10-11 23:55:12,Hog Island Oyster Co,"38.1621, -122.8938",Restaurant,97.64,71
2020-10-11 16:34:43,Hog Island Oyster Co,"38.1621, -122.8939",Restaurant,39.25,16
2020-10-12 3:11:39,Hog Island Oyster Co,"38.1621, -122.8940",Restaurant,39.63,24
2020-10-12 6:41:59,Hog Island Oyster Co,"38.1621, -122.8941",Restaurant,66.84,23
2020-10-11 14:0:41,Hog Island Oyster Co,"38.1621, -122.8942",Restaurant,0.95,32
2020-10-11 19:35:35,Hog Island Oyster Co,"38.1621, -122.8943",Restaurant,73.01,40
2020-10-11 19:33:9,Hog Island Oyster Co,"38.1621, -122.8944",Restaurant,83.08,35
2020-10-11 15:3:14,Hog Island Oyster Co,"38.1621, -122.8945",Restaurant,89.13,7
2020-10-11 22:39:3,Hog Island Oyster Co,"38.1621, -122.8946",Restaurant,23.39,33
2020-10-11 17:18:18,Hog Island Oyster Co,"38.1621, -122.8947",Restaurant,92.86,62
2020-10-11 10:10:38,Hog Island Oyster Co,"38.1621, -122.8948",Restaurant,77.58,68
2020-10-11 20:0:32,Hog Island Oyster Co,"38.1621, -122.8949",Restaurant,23.68,15
2020-10-11 9:44:28,Hog Island Oyster Co,"38.1621, -122.8950",Restaurant,23.70,62
2020-10-11 17:4:14,Hog Island Oyster Co,"38.1621, -122.8951",Restaurant,42.54,5
2020-10-12 9:42:50,Hog Island Oyster Co,"38.1621, -122.8952",Restaurant,0.48,43
2020-10-12 8:29:7,Hog Island Oyster Co,"38.1621, -122.8953",Restaurant,34.37,43
2020-10-11 19:35:0,Hog Island Oyster Co,"38.1621, -122.8954",Restaurant,27.98,84
2020-10-11 13:1:0,Hog Island Oyster Co,"38.1621, -122.8955",Restaurant,55.27,28
2020-10-12 4:39:9,Hog Island Oyster Co,"38.1621, -122.8956",Restaurant,69.53,76
2020-10-11 12:17:47,Hog Island Oyster Co,"38.1621, -122.8957",Restaurant,62.56,29
2020-10-11 23:12:39,Hog Island Oyster Co,"38.1621, -122.8958",Restaurant,84.05,4
2020-10-11 16:5:3,Hog Island Oyster Co,"38.1621, -122.8959",Restaurant,28.92,68
2020-10-12 2:49:52,Hog Island Oyster Co,"38.1621, -122.8960",Restaurant,52.08,44
2020-10-12 3:50:46,Hog Island Oyster Co,"38.1621, -122.8961",Restaurant,42.58,7
2020-10-12 10:12:26,Hog Island Oyster Co,"38.1621, -122.8962",Restaurant,68.63,82
2020-10-12 0:13:40,Hog Island Oyster Co,"38.1621, -122.8963",Restaurant,6.33,56
2020-10-11 17:6:37,Hog Island Oyster Co,"38.1621, -122.8964",Restaurant,48.79,89
2020-10-11 18:54:48,Hog Island Oyster Co,"38.1621, -122.8965",Restaurant,51.43,43
2020-10-11 10:14:32,Hog Island Oyster Co,"38.1621, -122.8966",Restaurant,16.35,54
2020-10-11 18:15:21,The Bird,"37.787201, -122.400101",Restaurant,14.83,86
2020-10-12 1:35:27,The Bird,"37.787201, -122.400102",Restaurant,27.65,18
2020-10-11 15:27:58,The Bird,"37.787201, -122.400103",Restaurant,40.76,80
2020-10-12 11:45:8,The Bird,"37.787201, -122.400104",Restaurant,19.90,9
2020-10-11 19:26:2,The Bird,"37.787201, -122.400105",Restaurant,77.30,37
2020-10-11 17:39:6,The Bird,"37.787201, -122.400106",Restaurant,83.66,29
2020-10-12 1:18:57,The Bird,"37.787201, -122.400107",Restaurant,36.70,72
2020-10-11 18:49:23,The Bird,"37.787201, -122.400108",Restaurant,53.18,80
2020-10-12 1:52:9,The Bird,"37.787201, -122.400109",Restaurant,2.90,52
2020-10-12 8:52:40,The Bird,"37.787201, -122.400110",Restaurant,96.61,91
2020-10-12 2:43:50,The Bird,"37.787201, -122.400111",Restaurant,26.60,11
2020-10-11 11:18:4,The Bird,"37.787201, -122.400112",Restaurant,61.76,22
2020-10-11 23:42:46,The Bird,"37.787201, -122.400113",Restaurant,29.21,32
2020-10-11 21:31:40,The Bird,"37.787201, -122.400114",Restaurant,58.08,66
2020-10-11 13:35:29,The Bird,"37.787201, -122.400115",Restaurant,21.76,57
2020-10-12 10:57:13,The Bird,"37.787201, -122.400116",Restaurant,48.80,28
2020-10-11 23:47:12,The Bird,"37.787201, -122.400117",Restaurant,68.31,64
2020-10-12 11:1:10,The Bird,"37.787201, -122.400118",Restaurant,39.03,72
2020-10-11 14:36:51,The Bird,"37.787201, -122.400119",Restaurant,41.91,90
2020-10-11 21:22:28,The Bird,"37.787201, -122.400120",Restaurant,40.18,51
2020-10-11 14:20:31,The Bird,"37.787201, -122.400121",Restaurant,18.95,96
2020-10-12 3:47:38,The Bird,"37.787201, -122.400122",Restaurant,75.97,13
2020-10-11 12:10:6,The Bird,"37.787201, -122.400123",Restaurant,48.40,33
2020-10-11 9:40:22,The Bird,"37.787201, -122.400124",Restaurant,45.89,19
2020-10-11 19:23:57,Dumpling Home,"37.787201, -122.400125",Restaurant,79.68,92
